U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
1652,36696,1401,4580,4663.87,0,0.022744144426537213,83.87
1653,36696,1407,4580,4661.04,1,0.6372866033695936,81.04
1654,36697,1407,4543,4624.04,1,0.7716106581117418,81.04
1655,36698,1407,4618,4699.04,1,0.1630284981189836,81.04
1656,36973,1410,6365,6386.21,0,0.07396765995500469,21.21
1657,36974,1401,5721,5804.87,0,0.4448701309853569,83.87
1658,36974,1410,5721,5742.21,0,0.08900706826250954,21.21
1659,36975,1401,5061,5144.87,0,0.40654929305402937,83.87
1660,36975,1411,5061,5078.06,0,0.005298594587311149,17.06
1661,36976,1407,4788,4869.04,1,3.3447703453572467e-4,81.04
1662,36976,1411,4788,4805.06,0,0.02713296056568436,17.06
1663,36977,1407,4523,4604.04,1,0.34446292079880836,81.04
1664,36978,1407,4485,4566.04,1,0.8108680336162001,81.04
1665,36979,1407,4616,4697.04,1,0.004708631227736128,81.04
1666,36994,1412,5054,5080.09,0,0.009300919411942363,26.09
1667,37254,1401,6337,6420.87,0,0.042728854555436874,83.87
1668,37254,1413,6337,6390.28,0,0.054025364504806696,53.28
1669,37255,1401,5793,5876.87,0,0.15347326870336384,83.87
1670,37255,1411,5793,5810.06,0,0.009356131410066039,17.06
1671,37255,1413,5793,5846.28,0,0.4915859365127882,53.28
1672,37255,1414,5793,5812.27,0,0.1579578325868147,19.27
1673,37256,1411,5074,5091.06,0,0.08066147741439939,17.06
1674,37256,1413,5074,5127.28,0,0.26179036088247504,53.28
1675,37258,1407,4431,4512.04,1,0.5597557834301814,81.04
1676,37259,1407,4332,4413.04,1,0.5121461361682433,81.04
1677,37260,1407,4383,4464.04,1,0.10675352587547712,81.04
1678,37273,1415,5003,5038.95,0,0.024669300332020503,35.95
1679,37273,1416,5003,5015.54,0,0.005096963939592242,12.54
1680,37273,1417,5003,5007.88,0,0.00599675920701772,4.88
1681,37274,1412,5313,5339.09,0,0.29910295298477263,26.09
